ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,rp
-45,-38,-48,-51,-54,-31,-51,-51,3
-45,-39,-48,-52,-53,-30,-50,-51,3
-45,-38,-48,-54,-54,-30,-50,-50,3
-44,-39,-47,-53,-53,-30,-51,-49,3
-46,-39,-47,-55,-54,-30,-50,-51,3
-45,-39,-48,-55,-53,-30,-51,-50,3
-46,-39,-47,-55,-54,-30,-50,-52,3
-45,-39,-48,-55,-54,-31,-51,-51,3
-45,-39,-48,-55,-54,-30,-51,-50,3
-46,-39,-47,-55,-54,-30,-50,-51,3
-47,-38,-46,-52,-53,-29,-48,-49,3
-45,-39,-48,-53,-54,-31,-52,-51,3
-46,-40,-49,-55,-54,-31,-51,-52,3
-48,-40,-49,-55,-55,-31,-51,-54,3
-46,-39,-48,-55,-56,-31,-51,-53,3
-46,-40,-48,-55,-55,-30,-52,-52,3
-46,-39,-49,-55,-55,-31,-51,-52,3
-46,-40,-50,-55,-54,-30,-52,-53,3
-46,-38,-48,-56,-55,-31,-51,-51,3
-46,-40,-49,-56,-55,-31,-51,-52,3
-46,-40,-49,-55,-54,-31,-52,-51,3
-45,-40,-47,-55,-54,-31,-51,-51,3
-45,-39,-48,-55,-55,-31,-53,-52,3
-46,-39,-49,-55,-54,-30,-52,-51,3
-46,-40,-48,-55,-54,-32,-52,-51,3
-47,-39,-48,-54,-55,-31,-52,-52,3
-46,-39,-48,-55,-54,-31,-51,-51,3
-46,-39,-48,-55,-55,-31,-51,-52,3
-46,-40,-48,-55,-55,-31,-52,-51,3
-46,-39,-48,-54,-54,-32,-51,-51,3
-46,-39,-48,-55,-55,-30,-51,-52,3
-45,-40,-48,-54,-54,-31,-51,-53,3
-48,-40,-49,-56,-54,-32,-50,-54,3
-46,-39,-49,-56,-55,-30,-51,-52,3
-45,-39,-48,-56,-55,-31,-51,-52,3
-47,-39,-48,-56,-55,-32,-50,-51,3
-46,-40,-48,-56,-56,-30,-51,-52,3
